Date,Day,Work,Development,Self-Care,Others
2021-07-22,Thursday,2.75,0.0,1.0,Condo Sofa
2021-07-23,Friday,1.0,0.5,0.0,rental agg
2021-07-24,Saturday,0.0,0.0,0.0,0
2021-07-25,Sunday,0.0,0.0,0.0,0
2021-07-26,Monday,0.75,0.0,0.0,0
2021-07-27,Tuesday,2.25,0.0,0.0,0
2021-07-28,Wednesday,2.75,0.0,0.0,0
2021-07-29,Thursday,1.75,0.0,0.0,0
2021-07-30,Friday,0.0,0.5,2.0,Frilu
2021-07-31,Saturday,0.0,0.0,2.0,Brunch
2021-08-01,Sunday,0.0,0.0,0.0,0
2021-08-02,Monday,0.75,0.75,3.0,Enjoy the wood
2021-08-03,Tuesday,0.0,0.0,0.0,0
2021-08-04,Wednesday,3.0,0.0,0.0,0
2021-08-05,Thursday,1.25,0.0,0.0,0
2021-08-06,Friday,0.0,0.5,0.0,0
2021-08-07,Saturday,0.0,0.0,0.0,0
2021-08-08,Sunday,0.0,0.0,0.0,0
2021-08-09,Monday,0.0,2.0,0.0,0
2021-08-10,Tuesday,3.5,0.0,0.0,0
2021-08-11,Wednesday,3.25,0.0,2.5,north imaging
2021-08-12,Thursday,1.75,0.5,0.0,0
2021-08-13,Friday,2.25,0.0,3.0,house party
2021-08-14,Saturday,0.0,0.0,3.0,friends
2021-08-15,Sunday,0.0,0.0,3.0,friends
2021-08-16,Monday,2.5,0.75,0.0,0
2021-08-17,Tuesday,1.25,1.0,0.0,0
2021-08-18,Wednesday,3.0,0.5,0.0,0
2021-08-19,Thursday,2.75,0.0,0.0,0
2021-08-20,Friday,0.25,0.0,0.0,0
2021-08-21,Saturday,0.0,0.0,0.0,0
2021-08-22,Sunday,0.0,0.0,0.0,0
2021-08-23,Monday,1.25,0.0,1.5,0
2021-08-24,Tuesday,3.75,0.0,0.0,0
2021-08-25,Wednesday,1.5,0.0,0.0,0
2021-08-26,Thursday,1.25,0.0,0.0,0
2021-08-27,Friday,0.0,0.0,0.0,0
2021-08-28,Saturday,0.0,0.0,0.0,0
2021-08-29,Sunday,0.0,0.0,0.0,0
2021-08-30,Monday,0.25,0.0,0.0,0
2021-08-31,Tuesday,3.0,0.0,0.0,0
2021-09-01,Wednesday,0.0,0.0,0.0,0
2021-09-02,Thursday,2.25,0.0,0.0,0
2021-09-03,Friday,0.25,0.25,0.0,0
2021-09-04,Saturday,0.0,0.0,0.0,friends over
2021-09-05,Sunday,0.0,0.0,3.0,hiking
2021-09-06,Monday,0.0,0.0,1.0,make cake
2021-09-07,Tuesday,0.25,0.5,0.0,udacity ab testing
2021-09-08,Wednesday,0.5,1.5,0.0,call with dayna
2021-09-09,Thursday,0.0,0.0,0.0,0
2021-09-10,Friday,1.0,1.0,0.0,0
2021-09-11,Saturday,0.0,0.0,0.0,0
2021-09-12,Sunday,0.0,0.0,0.0,0
2021-09-13,Monday,2.0,0.0,0.5,voting day
2021-09-14,Tuesday,0.5,0.0,1.0,0
2021-09-15,Wednesday,1.0,0.0,0.0,0
2021-09-16,Thursday,2.0,0.0,0.0,0
2021-09-17,Friday,2.0,1.0,0.0,0
2021-09-18,Saturday,0.0,0.0,0.0,0
2021-09-19,Sunday,0.0,0.0,0.0,0
2021-09-20,Monday,2.0,0.0,0.0,0
2021-09-21,Tuesday,3.0,0.0,0.0,mid autum fest
2021-09-22,Wednesday,1.75,0.5,0.0,0
2021-09-23,Thursday,0.25,0.0,0.0,0
2021-09-24,Friday,0.0,1.0,0.0,0
2021-09-25,Saturday,0.0,0.0,0.0,0
2021-09-26,Sunday,0.0,0.0,0.0,0
2021-09-27,Monday,4.25,0.75,0.0,0
2021-09-28,Tuesday,2.5,0.0,0.0,0
2021-09-29,Wednesday,0.75,0.0,0.0,0
2021-09-30,Thursday,0.0,0.0,1.5,0
2021-10-01,Friday,0.75,1.0,0.0,0
2021-10-02,Saturday,0.0,0.0,0.0,0
2021-10-03,Sunday,0.0,0.0,0.0,0
2021-10-04,Monday,0.0,3.5,1.5,0
2021-10-05,Tuesday,0.0,0.0,0.0,trip
2021-10-06,Wednesday,0.0,0.0,0.0,trip
2021-10-07,Thursday,0.0,0.0,0.0,trip
2021-10-08,Friday,0.0,0.0,0.0,trip
2021-10-09,Saturday,0.0,0.0,0.0,trip
2021-10-10,Sunday,0.0,0.0,0.0,0
2021-10-11,Monday,0.0,2.5,0.5,0
2021-10-12,Tuesday,1.0,3.0,0.0,test1
2021-10-13,Wednesday,1.0,0.0,0.0,0
2021-10-14,Thursday,3.5,1.25,0.0,0
2021-10-15,Friday,0.0,1.0,0.5,0
2021-10-16,Saturday,0.0,0.0,0.0,0
2021-10-17,Sunday,0.0,0.75,0.5,East Don Valley Trail
2021-10-18,Monday,2.0,1.0,0.25,0
2021-10-19,Tuesday,7.0,0.0,1.0,appt
2021-10-20,Wednesday,3.5,1.25,0.25,0
2021-10-21,Thursday,0.25,2.25,0.25,bayes
2021-10-22,Friday,1.0,0.0,0.0,0
2021-10-23,Saturday,0.0,1.5,0.0,0
2021-10-24,Sunday,0.0,0.0,0.0,0
2021-10-25,Monday,2.0,0.0,0.0,0
2021-10-26,Tuesday,2.0,0.0,0.0,0
2021-10-27,Wednesday,2.25,0.0,0.0,0
2021-10-28,Thursday,2.5,0.25,0.0,0
2021-10-29,Friday,3.0,1.0,0.0,0
2021-10-30,Saturday,0.0,0.75,0.0,0
2021-10-31,Sunday,0.0,1.25,0.0,0
2021-11-01,Monday,2.75,1.5,0.0,0
2021-11-02,Tuesday,4.75,0.0,0.0,0
2021-11-03,Wednesday,3.25,0.0,0.0,0
2021-11-04,Thursday,4.0,0.0,0.0,0
2021-11-05,Friday,3.0,0.0,0.0,0
2021-11-06,Saturday,0.0,1.25,0.0,0
2021-11-07,Sunday,0.0,1.0,0.0,0
2021-11-08,Monday,3.0,2.0,0.0,0
2021-11-09,Tuesday,0.75,3.0,0.0,0
2021-11-10,Wednesday,1.5,2.75,0.0,0
2021-11-11,Thursday,0.0,4.0,0.0,0
2021-11-12,Friday,2.0,1.25,0.0,0
2021-11-13,Saturday,0.0,3.0,0.0,0
2021-11-14,Sunday,0.0,6.0,0.0,0
2021-11-15,Monday,0.75,6.0,0.0,m_vo
2021-11-16,Tuesday,0.75,6.0,0.0,m_vo
2021-11-17,Wednesday,3.0,0.0,0.0,0
2021-11-18,Thursday,1.75,0.0,0.0,0
2021-11-19,Friday,2.25,0.0,0.0,0
2021-11-20,Saturday,0.0,0.0,2.0,0
2021-11-21,Sunday,0.0,0.0,2.0,riverwood
2021-11-22,Monday,0.0,0.5,0.0,0
2021-11-23,Tuesday,0.0,0.0,0.0,0
