Date,Day,work,ds_project,coding,planning
2020-10-20,Tuesday,2.5,0.0,0,0.0
2020-10-21,Wednesday,3.5,0.0,0,0.0
2020-10-22,Thursday,4.0,0.0,0,0.0
2020-10-23,Friday,2.0,0.0,0,0.0
2020-10-24,Saturday,0.0,0.0,0,0.0
2020-10-25,Sunday,2.0,0.0,0,0.0
2020-10-26,Monday,3.0,0.0,0,0.0
2020-10-27,Tuesday,5.0,0.0,0,0.0
2020-10-28,Wednesday,2.0,0.0,0,0.0
2020-10-29,Thursday,5.5,0.0,0,0.0
2020-10-30,Friday,1.0,0.0,0,0.0
2020-10-31,Saturday,1.5,0.0,0,0.0
2020-11-01,Sunday,2.0,0.0,0,0.0
2020-11-02,Monday,6.5,0.0,0,0.0
2020-11-03,Tuesday,5.0,0.0,0,0.0
2020-11-04,Wednesday,1.5,0.0,0,0.0
2020-11-05,Thursday,5.5,0.0,0,0.0
2020-11-06,Friday,4.5,0.0,0,0.0
2020-11-07,Saturday,0.5,0.0,0,0.0
2020-11-08,Sunday,1.5,0.0,0,0.0
2020-11-09,Monday,6.5,0.0,0,0.0
2020-11-10,Tuesday,3.0,0.0,0,0.0
2020-11-11,Wednesday,1.0,0.0,0,0.0
2020-11-12,Thursday,5.5,0.0,0,0.0
2020-11-13,Friday,2.5,0.0,0,0.0
2020-11-14,Saturday,2.5,0.0,0,0.0
2020-11-15,Sunday,3.5,0.0,0,0.0
2020-11-16,Monday,8.0,0.0,0,0.0
2020-11-17,Tuesday,5.5,0.0,0,0.0
2020-11-18,Wednesday,3.5,0.0,0,0.0
2020-11-19,Thursday,3.5,0.0,0,0.0
2020-11-20,Friday,2.0,0.0,0,0.0
2020-11-21,Saturday,2.0,0.0,0,0.0
2020-11-22,Sunday,1.0,0.0,0,0.0
2020-11-23,Monday,4.5,0.0,0,0.0
2020-11-24,Tuesday,6.5,0.0,0,0.0
2020-11-25,Wednesday,1.0,0.0,0,0.0
2020-11-26,Thursday,4.5,0.0,0,0.0
2020-11-27,Friday,4.0,0.0,0,0.0
2020-11-28,Saturday,0.5,0.0,0,0.0
2020-11-29,Sunday,0.5,0.0,0,0.0
2020-11-30,Monday,4.0,0.0,0,0.0
2020-12-01,Tuesday,4.5,0.0,0,0.0
2020-12-02,Wednesday,4.0,0.0,0,0.0
2020-12-03,Thursday,6.5,0.0,0,0.0
2020-12-04,Friday,2.0,0.0,0,0.0
2020-12-05,Saturday,0.0,0.0,0,0.0
2020-12-06,Sunday,1.0,0.0,0,0.0
2020-12-07,Monday,4.5,1.5,0,0.5
